age,job,marital,education,default,balance,housing,loan,campaign,y
58,management,married,tertiary,no,2143,yes,no,1,no
44,technician,single,secondary,no,29,yes,no,1,no
33,entrepreneur,married,secondary,no,2,yes,yes,1,no
47,blue-collar,married,unknown,no,1506,yes,no,1,no
33,unknown,single,unknown,no,1,no,no,1,no
35,management,married,tertiary,no,231,yes,no,1,no
28,management,single,tertiary,no,447,yes,yes,1,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,1,no
58,retired,married,primary,no,121,yes,no,1,no
43,technician,single,secondary,no,593,yes,no,1,no
41,admin.,divorced,secondary,no,270,yes,no,1,no
29,admin.,single,secondary,no,390,yes,no,1,no
53,technician,married,secondary,no,6,yes,no,1,no
58,technician,married,unknown,no,71,yes,no,1,no
57,services,married,secondary,no,162,yes,no,1,no
51,retired,married,primary,no,229,yes,no,1,no
45,admin.,single,unknown,no,13,yes,no,1,no
57,blue-collar,married,primary,no,52,yes,no,1,no
60,retired,married,primary,no,60,yes,no,1,no
33,services,married,secondary,no,0,yes,no,1,no
28,blue-collar,married,secondary,no,723,yes,yes,1,no
56,management,married,tertiary,no,779,yes,no,1,no
32,blue-collar,single,primary,no,23,yes,yes,1,no
25,services,married,secondary,no,50,yes,no,1,no
40,retired,married,primary,no,0,yes,yes,1,no
44,admin.,married,secondary,no,-372,yes,no,1,no
39,management,single,tertiary,no,255,yes,no,1,no
52,entrepreneur,married,secondary,no,113,yes,yes,1,no
46,management,single,secondary,no,-246,yes,no,2,no
36,technician,single,secondary,no,265,yes,yes,1,no
57,technician,married,secondary,no,839,no,yes,1,no
49,management,married,tertiary,no,378,yes,no,1,no
60,admin.,married,secondary,no,39,yes,yes,1,no
59,blue-collar,married,secondary,no,0,yes,no,1,no
57,technician,divorced,secondary,no,63,yes,no,1,no
25,blue-collar,married,secondary,no,-7,yes,no,1,no
53,technician,married,secondary,no,-3,no,no,1,no
36,admin.,divorced,secondary,no,506,yes,no,1,no
37,admin.,single,secondary,no,0,yes,no,1,no
44,services,divorced,secondary,no,2586,yes,no,1,no
50,management,married,secondary,no,49,yes,no,2,no
60,blue-collar,married,unknown,no,104,yes,no,1,no
54,retired,married,secondary,no,529,yes,no,1,no
58,retired,married,unknown,no,96,yes,no,1,no
36,admin.,single,primary,no,-171,yes,no,1,no
58,self-employed,married,tertiary,no,-364,yes,no,1,no
44,technician,married,secondary,no,0,yes,no,2,no
55,technician,divorced,secondary,no,0,no,no,1,no
29,management,single,tertiary,no,0,yes,no,1,no
54,blue-collar,married,secondary,no,1291,yes,no,1,no
